,1089
0,7
1,2
2,8
3,8
4,6
5,1
6,5
7,8
8,8
9,7
10,6
11,0
12,2
13,3
14,3
15,2
16,2
17,1
18,1
19,3
20,4
21,2
22,2
23,4
24,7
25,8
26,8
27,8
28,7
29,4
30,1
31,3
32,1
33,1
34,2
35,2
36,1
37,1
38,1
39,2
40,1
41,8
42,7
43,3
44,7
45,7
46,7
47,6
48,4
49,1
50,1
51,1
52,4
53,4
54,1
55,1
56,2
57,7
58,7
59,8
60,7
61,7
62,6
63,2
64,7
65,8
66,9
67,9
68,9
69,9
70,9
71,9
72,9
73,9
74,9
75,9
76,9
77,8
78,5
79,0
80,6
81,7
82,2
83,5
84,6
85,4
86,1
87,7
88,7
89,7
90,6
91,5
92,4
93,2
94,2
95,3
96,2
97,3
98,5
99,6
100,1
101,5
102,8
103,9
104,9
105,7
106,1
107,6
108,8
109,8
110,8
111,4
112,1
113,3
114,2
115,1
116,0
117,1
118,1
119,5
120,9
121,9
