,0,_merge
0,3sxu,both
1,3f42,both
2,2lig,both
3,2pu9,both
4,1wny,both
5,2g62,both
6,4hws,both
7,3tg0,both
8,3db7,left_only
9,1vzy,both
10,1ei5,both
11,2p90,left_only
12,1wb9,both
13,2icw,both
14,2wkx,both
15,1nzi,both
16,3ag3,both
17,1gs9,both
18,2fgg,both
19,3eer,left_only
20,2fg1,left_only
21,2o9u,both
22,2v6x,both
23,1xpp,both
24,4e29,left_only
25,1ppj,both
26,2cwy,left_only
27,1slu,both
28,3las,left_only
29,2dpl,both
30,1m1f,both
31,2d00,both
32,2ca5,both
33,2d28,both
34,2vxn,both
35,3bvu,both
36,2jdq,both
37,2sic,both
38,2z7f,both
39,2fsu,both
40,2fpn,both
41,3bux,both
42,1h4x,both
43,1h7c,both
44,3rss,both
45,1vk5,both
46,1q88,left_only
47,1zps,both
48,3g0m,both
49,2ov0,both
50,2hqs,both
51,2cb8,both
52,1vr7,both
53,2ob5,left_only
54,3eip,both
55,1f0l,left_only
56,1t07,both
57,2fgq,both
58,2a65,left_only
59,1t1e,left_only
60,3rf3,both
61,3mg3,both
62,2gom,both
63,1k0r,both
64,1k3i,both
65,3s9z,both
66,2p8t,left_only
67,3os4,both
68,2wfi,both
69,1lm5,left_only
70,1r29,both
71,1l9l,both
72,2pv4,left_only
73,1wlg,both
74,2pvb,both
75,1gk9,both
76,2b0a,both
77,1ikp,both
78,1byi,both
79,2bfd,both
80,4af1,both
81,1ut7,both
82,1na6,both
83,1u7g,both
84,1nwz,both
85,1r0r,both
86,3ors,left_only
87,2euc,both
88,1bm8,both
89,1kgs,left_only
90,1fxk,both
91,2f01,both
92,3eeq,left_only
93,1or7,both
94,1wui,both
95,1t11,both
96,3rjs,left_only
97,2qhf,both
98,1m1e,both
99,1mg4,both
100,2x5o,both
101,2vn6,both
102,1okc,both
103,2xu3,both
104,2ayd,both
105,2c71,left_only
106,2jhf,both
107,2axw,both
108,3g21,left_only
109,3w5h,both
110,2za4,both
111,1ofd,both
112,1f86,both
113,1aie,both
114,2je6,both
115,1ah7,both
116,3bul,both
117,1q74,both
118,3ge3,both
119,1hxr,both
120,2cu2,left_only
121,1vq8,both
122,3bn0,both
123,1vr4,both
124,2fiy,both
125,1cip,both
126,2o8s,left_only
127,1gqe,both
128,2i53,both
129,1ei7,left_only
130,2icu,both
131,1yvr,both
132,1irq,left_only
133,1r0d,both
134,2bjq,left_only
135,1y6x,both
136,3og2,left_only
137,1i1w,both
138,3swo,left_only
139,1w66,both
140,1bxy,both
141,1g3p,left_only
142,1nlq,both
143,1pfv,both
144,3ojc,left_only
145,1ux5,both
146,4aff,both
147,3f6y,both
148,2nsz,both
149,1w6s,both
150,3zqu,both
151,1ylx,left_only
152,2e9x,both
153,2gud,left_only
154,3h63,both
155,1kjq,both
156,3fxk,both
157,1b79,both
158,3ose,both
159,1wub,left_only
160,4doi,both
161,2i5v,both
162,1k1f,both
163,1uoy,both
164,2iay,left_only
165,1k04,both
166,3ci0,left_only
167,1nyc,left_only
168,2cx1,left_only
169,4egu,left_only
170,2q2g,left_only
171,1sbx,both
172,1t1u,both
173,2o9s,both
174,1xsz,left_only
175,3uaw,both
176,1zd0,left_only
177,1z3e,both
178,3bof,left_only
179,1j5y,both
180,2o6k,both
181,1vp8,left_only
182,1s99,both
183,1vr0,both
184,3gp6,both
185,1zso,both
186,1ok0,both
187,1h99,both
188,2car,both
189,2c6q,both
190,2c60,both
191,1q5y,both
192,2d1s,both
193,4esp,left_only
194,1cq3,left_only
195,1n62,both
196,2vu9,both
197,3n4j,both
198,3lye,left_only
199,1vke,left_only
200,1k32,both
201,2au5,left_only
202,1jx4,both
203,1hbn,both
204,2oy9,both
205,2fqm,left_only
206,2hq4,left_only
207,4g3n,both
208,1szh,both
209,4g1q,left_only
210,3lvj,both
211,2dej,both
212,3ijw,left_only
213,2v8t,left_only
214,1s98,both
215,1ci4,both
216,2ob3,both
217,1zgk,both
218,3uci,both
219,2vb1,both
220,3u7q,both
221,1cfz,both
222,1bou,both
223,3ar4,both
224,1k3x,both
225,2inw,left_only
226,1lla,both
227,1wy6,left_only
228,1u5k,left_only
229,2we5,both
230,1r0v,both
231,1mtp,left_only
232,2pww,left_only
233,1yb3,left_only
234,3agn,both
235,4a02,both
236,3jvl,both
237,3hms,both
238,3ju4,left_only
239,1w7c,left_only
240,2r4q,both
241,1utg,both
242,1uwk,both
243,3t3l,both
244,1eex,left_only
245,3s4y,both
246,1iqz,both
247,2yim,both
248,2i5u,left_only
249,3ci3,left_only
250,1gpq,both
251,1l6p,both
252,1gp0,both
253,4e3y,both
254,1j98,both
255,3bbb,both
256,1dce,both
257,2q22,left_only
258,1chd,both
259,2qkl,both
260,1tke,both
261,4kef,both
262,2fhz,both
263,1z0j,both
264,1z2u,both
265,1m15,both
266,3wu2,both
267,1jw9,both
268,1vf6,both
269,1q5z,both
270,4lwr,left_only
271,1vk1,left_only
272,1vio,both
273,3epw,left_only
274,2wbm,both
275,3bwu,both
276,1ofc,both
277,2fcw,both
278,2auw,left_only
279,1vkf,left_only
280,2fsq,left_only
281,1vf7,both
282,1a1x,both
283,1ad2,both
284,1oks,left_only
285,2oux,both
286,1dzf,both
287,3l5o,left_only
288,1nh2,both
289,1mf7,both
290,3k2z,both
291,1mkf,left_only
292,1tf5,both
293,2ffg,both
294,2xol,both
295,2f2h,both
296,2q0z,both
297,3llp,both
298,1mk0,left_only
299,1oqj,both
300,1mj4,both
301,1l5j,both
302,2p8q,both
303,2ic2,both
304,2f69,both
305,3dnf,both
306,2g7s,left_only
307,1wy5,both
308,2in5,both
309,4hww,both
310,2wds,both
311,2i9w,left_only
312,2gbo,both
313,1rss,both
314,1ifr,both
315,1vly,both
316,1g2r,left_only
317,1ijq,both
318,4v4e,left_only
319,2b59,left_only
320,1ls1,both
321,4kli,both
322,1iom,left_only
323,1y0n,both
324,1ewf,both
325,1ng6,both
326,2grr,both
327,1whz,left_only
328,4h27,both
329,2gsv,both
330,3zyl,both
331,3h1d,left_only
332,2ih2,both
333,3c7x,both
334,2nnu,both
335,2nn4,both
336,1b0n,both
337,1e7l,left_only
338,1wdd,both
339,3dkm,both
340,1pvm,left_only
341,2gkg,left_only
342,1e8c,both
343,3c8w,left_only
344,1k7c,both
345,2y71,both
346,3oxp,left_only
347,2xjp,both
348,1z9t,both
349,2ag4,both
350,1z8g,both
351,2fcl,left_only
352,1xvs,both
353,3u1u,both
354,1j0p,both
355,2o3b,left_only
356,3bhp,both
357,2f9h,left_only
358,1sj7,both
359,2tps,both
360,2ahm,left_only
361,1ozj,both
362,2dwk,both
363,1tx4,both
364,2bln,both
365,2fyu,both
366,2sak,both
367,1vlr,both
368,2arc,both
369,2cho,both
370,3gmx,left_only
371,1h16,both
372,1o7q,both
373,1x6o,left_only
374,1q0q,both
375,2cg7,both
376,3ku3,left_only
377,3r8j,both
378,1t6u,both
379,1owl,both
380,2q6k,both
381,1vyr,left_only
382,1ix9,both
383,2es4,both
384,1lfp,both
385,4au1,left_only
386,1gwe,both
387,1izm,both
388,1l3l,both
389,3m7v,both
390,3sk7,left_only
391,2woe,both
392,1rl6,both
393,3d36,left_only
394,1rc9,both
395,3ddt,both
396,2ppv,left_only
397,4fio,left_only
398,1rtq,both
399,1nij,both
400,4f01,both
401,4jp6,left_only
402,2e3h,both
403,2r31,left_only
404,4hdr,left_only
405,1n3l,both
406,1us0,both
407,1qtn,both
408,1rwh,left_only
409,3d3b,both
410,2p1m,both
411,1ecw,left_only
412,1udx,both
413,3t63,both
414,1u2h,left_only
415,2g0d,both
416,1kap,both
417,1ka1,both
418,1lg7,left_only
419,4ead,both
420,1sdi,both
421,2hng,left_only
