,0,_merge
0,2pu9,both
1,1wny,both
2,3tg0,both
3,1nzi,both
4,1gs9,both
5,2fgg,both
6,2o9u,both
7,1xpp,both
8,1m1f,both
9,2ca5,both
10,2d28,both
11,2vxn,both
12,2fsu,both
13,2fpn,both
14,1h4x,both
15,1h7c,both
16,1vk5,both
17,1zps,both
18,3g0m,both
19,2ov0,both
20,2hqs,both
21,2cb8,both
22,1vr7,both
23,3eip,both
24,1wui,both
25,2fgq,both
26,3mg3,both
27,2gom,both
28,1k3i,both
29,3s9z,both
30,3os4,both
31,2wfi,both
32,1r29,both
33,1l9l,both
34,1wlg,both
35,1gk9,both
36,2b0a,both
37,1byi,both
38,4af1,both
39,1na6,both
40,1u7g,both
41,1nwz,both
42,1wb9,both
43,2euc,both
44,1bm8,both
45,1fxk,both
46,2f01,both
47,2qhf,both
48,1mg4,both
49,2x5o,both
50,1okc,both
51,2xu3,both
52,2ayd,both
53,2axw,both
54,3w5h,both
55,1f86,both
56,1aie,both
57,1ah7,both
58,3bul,both
59,1q74,both
60,1hxr,both
61,3bn0,both
62,1vr4,both
63,2fiy,both
64,1gqe,both
65,2i53,both
66,2icu,both
67,1yvr,both
68,1r0d,both
69,1y6x,both
70,1i1w,both
71,1bxy,both
72,1nlq,both
73,1ux5,both
74,4aff,both
75,3f6y,both
76,2nsz,both
77,3zqu,both
78,2e9x,both
79,3h63,both
80,1b79,both
81,3ose,both
82,4doi,both
83,2i5v,both
84,1k1f,both
85,1uoy,both
86,1k04,both
87,1t1u,both
88,3uaw,both
89,2o6k,both
90,1s99,both
91,1zso,both
92,1ok0,both
93,2c6q,both
94,1q5y,both
95,2d1s,both
96,1k32,both
97,2oy9,both
98,4g3n,both
99,1s98,both
100,1ci4,both
101,2ob3,both
102,1zgk,both
103,2vb1,both
104,3u7q,both
105,1cfz,both
106,1bou,both
107,2f69,both
108,1lla,both
109,2we5,both
110,1r0v,both
111,3agn,both
112,4a02,both
113,3hms,both
114,1utg,both
115,1uwk,both
116,1wqj,both
117,3t3l,both
118,3s4y,both
119,1iqz,both
120,2yim,both
121,2jdi,both
122,1gpq,both
123,1l6p,both
124,1gp0,both
125,4e3y,both
126,1j98,both
127,3bbb,both
128,1chd,both
129,1m15,both
130,1jw9,both
131,1q5z,both
132,1ofc,both
133,1vf7,both
134,1a1x,both
135,1ad2,both
136,2oux,both
137,1dzf,both
138,1mf7,both
139,1slu,both
140,2ffg,both
141,2q0z,both
142,3llp,both
143,1oqj,both
144,1l5j,both
145,3dnf,both
146,4hww,both
147,2wds,both
148,2gbo,both
149,1rss,both
150,1vly,both
151,1ijq,both
152,1ls1,both
153,1ewf,both
154,1ng6,both
155,4h27,both
156,2gsv,both
157,2gyk,both
158,3c7x,both
159,1wdd,both
160,1e8c,both
161,1k7c,both
162,2y71,both
163,1z9t,both
164,1xvs,both
165,3u1u,both
166,1j0p,both
167,3bhp,both
168,1sj7,both
169,2dwk,both
170,2bln,both
171,2sak,both
172,2arc,both
173,1h16,both
174,1o7q,both
175,3r8j,both
176,1t6u,both
177,2q6k,both
178,2es4,both
179,1lfp,both
180,1gwe,both
181,1izm,both
182,2woe,both
183,1rl6,both
184,1rtq,both
185,1n3l,both
186,1us0,both
187,3d3b,both
188,3t63,both
