,PDB_ID
0,2ed6
1,4fyx
2,2cb8
3,1in0
4,1utg
5,2ogf
6,4ay7
7,2c2a
8,2h88
9,4g3n
10,1uz3
11,1twf
12,3arc
13,1dj0
14,3jqk
15,1m0k
16,2ci1
17,2v9l
18,3pms
19,2f4m
20,3rlf
21,3v5w
22,1nh2
23,1on2
24,1zke
25,1na6
26,1u2c
27,2uv4
28,1reg
29,3b64
30,2sak
31,4aff
32,2a9s
33,1yu0
34,3lye
35,1twf
36,3qq8
37,1w23
38,1oa8
39,2i5h
40,3ci0
41,2i0z
42,1k32
43,3cu9
44,2fvy
45,2g3r
46,2wn9
47,3tvj
48,1ccw
49,2au5
50,2j8g
51,2p90
52,2euc
53,1u84
54,1nij
55,2i15
56,2bz1
57,2rfr
58,2arc
59,1lsh
60,1vd6
61,2es4
62,3wcq
63,1eex
64,1ppj
65,4egu
66,1jo0
67,1mg4
68,1ut7
69,1m15
70,3las
71,1d0q
72,2huj
73,1f35
74,3ksn
75,1r9f
76,4aiw
77,1x8q
78,1mkf
79,1vp7
80,2ota
81,1iom
82,1z3x
83,3tn2
84,1gk9
85,1ojh
86,1euw
87,1qwg
88,2erl
89,3s9z
90,1k6y
91,3ag3
92,1dl5
93,2dew
94,3nir
95,2bog
96,1ijq
97,2gpi
98,3fx7
99,2db7
100,2qsb
101,4dui
102,3bhd
103,1ko7
104,2in5
105,3bwu
106,1x9d
107,3ldq
108,4acf
109,1ci4
110,2ppv
111,1zoq
112,3h1d
113,2fi0
114,2f5t
115,4kli
116,3mqd
117,1wny
118,3l5o
119,3nvs
120,1chd
121,1r0m
122,1vlr
123,2qud
124,3vdp
125,1qex
126,2dwk
127,4gwb
128,1g7s
129,4ee6
130,4e29
131,2a26
132,2ia1
133,3mg3
134,2o9s
135,2ylb
136,3zuc
137,1v30
138,1ppj
139,3c8g
140,2cu2
141,1zso
142,1kjn
143,2hpj
144,1vh4
145,3pzw
146,4af1
147,1wy5
148,1y0p
149,2f69
150,1ayo
151,1ppj
152,1lg7
153,1x2i
154,3pro
155,1t77
156,2vb1
157,2c0g
158,1k92
159,3byp
160,1ux5
161,2oku
162,2gud
163,1h4r
164,1fm0
165,1rki
166,4a82
167,1k3i
168,3h7i
169,2fg1
170,2x5o
171,4dnd
172,3os4
173,3s4e
174,1o22
175,1usm
176,1yvr
177,2o5h
178,2dxu
179,2o9u
180,1vly
181,1whz
182,1fs1
183,2bky
184,2ido
185,3bvu
186,2oiz
187,2pv4
188,3brd
189,3bhp
190,1dk8
191,1hyo
192,1x3l
193,1dj8
194,2ob3
195,3u1u
196,1uz5
197,1g2r
198,1yzy
199,2es9
200,3a4r
201,1xkp
202,1n81
203,1gp0
204,1m1e
205,2hxm
206,1ou8
207,1p90
208,1qks
209,2h8e
210,3n2w
211,1r6j
212,3m5q
213,3klr
214,1b25
215,3u9w
216,2dlb
217,2g62
218,1s2x
219,1js8
220,3rjs
221,4emt
222,1rcq
223,4axo
224,4dwr
225,3d06
226,1xub
227,1w6s
228,1jke
229,1ezg
230,2g0d
231,2czr
232,2cxy
233,4ead
234,2mcm
235,2vfx
236,1ppj
237,2h1v
238,2i5u
239,1vmh
240,1puc
241,2jdi
242,3fso
243,1vrm
244,1kl9
245,2vu9
246,3byq
247,1klx
248,2hiy
249,1gmu
250,1ppj
251,2ask
252,1kaf
253,2a9d
254,2dbs
255,1ois
256,1xkr
257,1gd8
258,3awu
259,2b1y
260,3mzf
261,2cwy
262,1orj
263,1jb3
264,2wnp
265,2qup
266,2y5f
267,3mcw
268,3gmx
269,3s8g
270,2r0x
271,4hdr
272,2zw2
273,2z51
274,2wbm
275,1oc0
276,2e9x
277,2b97
278,1oai
279,1qd6
280,2o37
281,1mty
282,1k4z
283,4fhr
284,1yk4
285,1h16
286,3ijw
287,2bay
288,3swo
289,1tul
290,4g1q
291,2j9w
292,1l3k
293,1vr4
294,2r4q
295,3qm9
296,1g73
297,1o82
298,2p1m
299,1ef1
300,2j6b
301,1olz
302,1zd0
303,3zyq
304,1aco
305,2hw4
306,4atm
307,1xmb
308,1l0q
309,1ufy
310,2xu3
311,1m6y
312,2ghv
313,2gib
314,1px5
315,2fma
316,2q66
317,3t3l
318,3dnf
319,1ok0
320,1pby
321,3w07
322,1v6p
323,1gzs
324,2hng
325,4iau
326,1wd3
327,3rq7
328,2oa5
329,1tjx
330,2lig
331,1rss
332,4eo7
333,2fsq
334,2hf1
335,1ikp
336,2q22
337,1rtq
338,3l51
339,1oxx
340,1cru
341,1wb9
342,2x5o
343,3q20
344,1pv5
345,2xhi
346,1dvo
347,1xly
348,3bqo
349,1qd1
350,3pc7
351,1izm
352,2fyx
353,1j27
354,3bzk
355,2e3h
356,1e44
357,1u5k
358,1n62
359,2ffg
360,2vxn
361,2bl8
362,2fgg
363,1z8g
364,1i4j
365,2cyj
366,4htg
367,1lns
368,2grr
369,1ozn
370,1fsg
371,1kap
372,2pvb
373,3t0h
374,2d28
375,1ad2
376,1q88
377,3cim
378,2fgq
379,1y6x
380,1nwz
381,2c9w
382,2vhk
383,2cho
384,1m15
385,3gwk
386,1vq8
387,4ac7
388,1nc7
389,1lsh
390,1iqz
391,3ag3
392,1ofd
393,1ryq
394,1kpt
395,2nn4
396,2nnu
397,2jek
398,1vzm
399,2ftx
400,2ob5
401,2jli
402,1t6u
403,1yfq
404,2csb
405,4fyx
406,1k6k
407,1n8v
408,2fcj
409,2wzk
410,2tps
411,1yc9
412,1fn9
413,1a12
414,1vpq
415,3ip4
416,1uj8
417,3eip
418,1wb9
419,2oy9
420,1eb6
421,2rld
422,1wpn
423,1f86
424,1o3u
425,2i9i
426,1roc
427,3rlf
428,1hp1
429,3lvj
430,1wb9
431,1yt3
432,1zme
433,2psb
434,1wui
435,4e2v
436,1g8e
437,2bfd
438,1gxm
439,3m9q
440,2icu
441,1dtd
442,4gmu
443,1szh
444,2pst
445,1p1x
446,1g2y
447,1vk1
448,3sk7
449,2aj7
450,3h0n
451,1usu
452,1m55
453,1wtj
454,2d0o
455,1rfy
456,1p6o
457,2f69
458,1zhx
459,2i1s
460,2nls
461,2gfq
462,1i2t
463,4ene
464,3ilw
465,1rwi
466,4af1
467,1o7q
468,2a2l
469,2j80
470,3lmn
471,2dm9
472,3amr
473,2a1v
474,1mf7
475,1r71
476,2vn6
477,2hq4
478,1nzi
479,1jnr
480,1gk9
481,1wqg
482,3pbt
483,2wqk
484,1qf8
485,4kli
486,1yoz
487,1uwk
488,3rvc
489,3d3b
490,3eer
491,1zt3
492,2ov0
493,1ls1
494,2gf4
495,1bou
496,1q2h
497,1egw
498,2y8y
499,3agn
500,3c7x
501,3t63
502,1fpo
503,1ofc
504,1w7c
505,2w1v
506,1k32
507,3zyl
508,1t1e
509,3arc
510,1sei
511,3uci
512,1sdi
513,1z9t
514,1okc
515,2wur
516,3d3r
517,1x6o
518,1olz
519,1x9z
520,1n7z
521,1nty
522,2fzt
523,2hnu
524,1f0l
525,4i8h
526,1rgx
527,3k34
528,1g8q
529,1mla
530,4hl2
531,2r31
532,1udx
533,2xol
534,1gmu
535,3k6i
536,4f19
537,1l5j
538,1r8s
539,2prv
540,1nki
541,4jxq
542,1vq8
543,1xmk
544,3n4j
545,2jdi
546,1w0n
547,3bi1
548,3c8y
549,3czz
550,1nyc
551,3bvu
552,1tx4
553,1vly
554,2ebs
555,1q9u
556,1ryl
557,1w53
558,1wvq
559,1x38
560,1lla
561,3uej
562,3os4
563,2huh
564,1ds1
565,1nrj
566,4eqp
567,1ei7
568,3h7i
569,2pju
570,4gwg
571,1nth
572,1b25
573,1k0r
574,2fup
575,2icw
576,2dpl
577,1bm8
578,1q74
579,1k7c
580,2phc
581,2o3b
582,1mvf
583,2nlv
584,1vmb
585,1uz5
586,1lm5
587,2fcw
588,3rf3
589,1hyo
590,1wub
591,2xw6
592,2i9w
593,3db7
594,2pif
595,2f2b
596,2yim
597,4g78
598,3bn0
599,1lfp
600,1mc2
601,1h2c
602,1gci
603,2fvv
604,3ct6
605,1uuy
606,2cve
607,1uty
608,2ap3
609,1or7
610,1itx
611,2j4w
612,2cx1
613,2h6f
614,3f0p
615,1n62
616,2x5o
617,3ea6
618,2i53
619,1nze
620,2p8t
621,3l8w
622,2g03
623,1jb0
624,3nft
625,4a02
626,1vi6
627,2pbk
628,1tzb
629,3ag3
630,1f0l
631,2wbm
632,1v7z
633,3ge3
634,1gmx
635,1pz4
636,1u6k
637,1twf
638,1xu1
639,2mhr
640,3bul
641,1mj4
642,3r87
643,3fxk
644,1l2p
645,2ou3
646,1l3p
647,2ii1
648,1aco
649,1nxj
650,4ead
651,1k4t
652,2fyu
653,1l9l
654,1t6a
655,3zho
656,3swo
657,2rk3
658,1byi
659,2gec
660,1dwk
661,1e58
662,2hqs
663,4i7e
664,3ag3
665,1gs9
666,1g3p
