,PDB_ID
0,1a12
1,1a1x
2,1a62
3,1a9x
4,1aco
5,1aco
6,1ad2
7,1af7
8,1ah7
9,1aie
10,1aol
11,1ayo
12,1b0n
13,1b25
14,1b25
15,1b33
16,1b79
17,1bg1
18,1bgf
19,1bkr
20,1bm8
21,1bou
22,1bou
23,1bx7
24,1bxy
25,1byi
26,1c5e
27,1cc8
28,1ccw
29,1cfz
30,1chd
31,1ci4
32,1cip
33,1ciy
34,1ciy
35,1cq3
36,1cru
37,1cuk
38,1cxq
39,1cy5
40,1d0q
41,1d3y
42,1dce
43,1dfu
44,1dj0
45,1dj8
46,1dk8
47,1dl5
48,1ds1
49,1dtd
50,1dvo
51,1dwk
52,1dy5
53,1dzf
54,1dzf
55,1e44
56,1e58
57,1e7l
58,1e8c
59,1eb6
60,1ecw
61,1eex
62,1eex
63,1ef1
64,1egw
65,1ei5
66,1ei7
67,1el6
68,1eu1
69,1eu1
70,1euw
71,1ewf
72,1ezg
73,1f0l
74,1f0l
75,1f1e
76,1f1m
77,1f35
78,1f3u
79,1f3v
80,1f60
81,1f7u
82,1f86
83,1fcy
84,1fkm
85,1fm0
86,1fm0
87,1fn9
88,1fpo
89,1fs1
90,1fsg
91,1fx2
92,1fxk
93,1g2r
94,1g2y
95,1g3p
96,1g6x
97,1g73
98,1g7s
99,1g8e
100,1g8q
101,1gci
102,1gd8
103,1gmu
104,1gmu
105,1gmx
106,1go3
107,1gp0
108,1gpj
109,1gpq
110,1gqe
111,1gqi
112,1gs9
113,1gte
114,1gwe
115,1gxm
116,1gxu
117,1gzs
118,1h16
119,1h2c
120,1h4r
121,1h4x
122,1h7c
123,1h99
124,1hbn
125,1hbn
126,1hc7
127,1he1
128,1hf2
129,1hfe
130,1hi9
131,1hp1
132,1hq1
133,1hxr
134,1hyo
135,1hyo
136,1i1w
137,1i2t
138,1i4j
139,1i71
140,1ifr
141,1ijq
142,1ijy
143,1ik9
144,1ikp
145,1in0
146,1io0
147,1io1
148,1iom
149,1iqz
150,1irq
151,1itx
152,1ix9
153,1ix9
154,1izm
155,1j09
156,1j0p
157,1j27
158,1j3w
159,1j5u
160,1j5y
161,1j98
162,1jb0
163,1jb0
164,1jb0
165,1jb0
166,1jb0
167,1jb3
168,1jfb
169,1jhg
170,1ji7
171,1jid
172,1jke
173,1jly
174,1jnr
175,1jo0
176,1jof
177,1jos
178,1jr8
179,1js8
180,1jw9
181,1jx4
182,1k04
183,1k0r
184,1k1f
185,1k32
186,1k32
187,1k3i
188,1k3x
189,1k3x
190,1k4i
191,1k4t
192,1k4z
193,1k5c
194,1k5n
195,1k6k
196,1k6y
197,1k7c
198,1k8k
199,1k8k
200,1k8k
201,1k92
202,1ka1
203,1kaf
204,1kap
205,1kgs
206,1kjn
207,1kjq
208,1kjq
209,1kjq
210,1kl9
211,1klx
212,1kmv
213,1knm
214,1knz
215,1ko7
216,1kp6
217,1kpt
218,1kq6
219,1kqf
220,1kqf
221,1kqp
222,1kwf
223,1kyf
224,1kyq
225,1l0q
226,1l0s
227,1l2p
228,1l3k
229,1l3l
230,1l3p
231,1l5j
232,1l6p
233,1l9l
234,1lfp
235,1lg7
236,1lkk
237,1lla
238,1lm5
239,1lmi
240,1lns
241,1lpb
242,1ls1
243,1lsh
244,1lsh
245,1lsl
246,1m0k
247,1m15
248,1m15
249,1m1e
250,1m1f
251,1m1h
252,1m22
253,1m55
254,1m56
255,1m6y
256,1mc2
257,1mf7
258,1mg4
259,1mj4
260,1mk0
261,1mkf
262,1mky
263,1mla
264,1mty
265,1muw
266,1mv8
267,1mvf
268,1mw5
269,1mwp
270,1mwq
271,1n3l
272,1n4w
273,1n5u
274,1n62
275,1n62
276,1n62
277,1n62
278,1n7z
279,1n81
280,1n8v
281,1n93
282,1na6
283,1nc7
284,1ng6
285,1nh1
286,1nh2
287,1nh2
288,1nij
