,SCOPeURL,PDB_ID
0,d1a12a_,1a12
1,d1a1xa_,1a1x
2,d1a62a1,1a62
3,d1a9xa1,1a9x
4,d1acoa1,1aco
5,d1acoa2,1aco
6,d1ad2a_,1ad2
7,d1af7a1,1af7
8,d1ah7a_,1ah7
9,d1aiea_,1aie
10,d1aola_,1aol
11,d1ayoa_,1ayo
12,d1b0na1,1b0n
13,d1b25a1,1b25
14,d1b25a2,1b25
15,d1b33n_,1b33
16,d1b79a_,1b79
17,d1bg1a1,1bg1
18,d1bgfa_,1bgf
19,d1bkra_,1bkr
20,d1bm8a_,1bm8
21,d1boua_,1bou
22,d1boub_,1bou
23,d1bx7a_,1bx7
24,d1bxya_,1bxy
25,d1byia_,1byi
26,d1c5ea_,1c5e
27,d1cc8a_,1cc8
28,d1ccwb_,1ccw
29,d1cfza_,1cfz
30,d1chda_,1chd
31,d1ci4a_,1ci4
32,d1cipa1,1cip
33,d1ciya2,1ciy
34,d1ciya3,1ciy
35,d1cq3a_,1cq3
36,d1crua_,1cru
37,d1cuka1,1cuk
38,d1cxqa_,1cxq
39,d1cy5a_,1cy5
40,d1d0qa_,1d0q
41,d1d3ya_,1d3y
42,d1dcea2,1dce
43,d1dfup_,1dfu
44,d1dj0a_,1dj0
45,d1dj8a_,1dj8
46,d1dk8a_,1dk8
47,d1dl5a2,1dl5
48,d1ds1a_,1ds1
49,d1dtdb_,1dtd
50,d1dvoa_,1dvo
51,d1dwka2,1dwk
52,d1dy5a_,1dy5
53,d1dzfa1,1dzf
54,d1dzfa2,1dzf
55,d1e44b_,1e44
56,d1e58a_,1e58
57,d1e7la1,1e7l
58,d1e8ca1,1e8c
59,d1eb6a_,1eb6
60,d1ecwa_,1ecw
61,d1eexb_,1eex
62,d1eexg_,1eex
63,d1ef1c_,1ef1
64,d1egwa_,1egw
65,d1ei5a1,1ei5
66,d1ei7a_,1ei7
67,d1el6a_,1el6
68,d1eu1a1,1eu1
69,d1eu1a2,1eu1
70,d1euwa_,1euw
71,d1ewfa1,1ewf
72,d1ezga_,1ezg
73,d1f0la1,1f0l
74,d1f0la3,1f0l
75,d1f1ea_,1f1e
76,d1f1ma_,1f1m
77,d1f35a_,1f35
78,d1f3ua_,1f3u
79,d1f3va_,1f3v
80,d1f60b_,1f60
81,d1f7ua3,1f7u
82,d1f86a_,1f86
83,d1fcya_,1fcy
84,d1fkma1,1fkm
85,d1fm0d_,1fm0
86,d1fm0e_,1fm0
87,d1fn9a_,1fn9
88,d1fpoa2,1fpo
89,d1fs1a1,1fs1
90,d1fsga_,1fsg
91,d1fx2a_,1fx2
92,d1fxka_,1fxk
93,d1g2ra_,1g2r
94,d1g2ya_,1g2y
95,d1g3pa1,1g3p
96,d1g6xa_,1g6x
97,d1g73a_,1g73
98,d1g7sa3,1g7s
99,d1g8ea_,1g8e
100,d1g8qa_,1g8q
101,d1gcia_,1gci
102,d1gd8a_,1gd8
103,d1gmua1,1gmu
104,d1gmua2,1gmu
105,d1gmxa_,1gmx
106,d1go3e2,1go3
107,d1gp0a_,1gp0
108,d1gpja3,1gpj
109,d1gpqa_,1gpq
110,d1gqea_,1gqe
111,d1gqia2,1gqi
112,d1gs9a_,1gs9
113,d1gtea1,1gte
114,d1gwea_,1gwe
115,d1gxma_,1gxm
116,d1gxua_,1gxu
117,d1gzsb_,1gzs
118,d1h16a_,1h16
119,d1h2ca_,1h2c
120,d1h4ra1,1h4r
121,d1h4xa_,1h4x
122,d1h7ca_,1h7c
123,d1h99a1,1h99
124,d1hbna1,1hbn
125,d1hbna2,1hbn
126,d1hc7a3,1hc7
127,d1he1a_,1he1
128,d1hf2a1,1hf2
129,d1hfes_,1hfe
130,d1hi9a_,1hi9
131,d1hp1a1,1hp1
132,d1hq1a_,1hq1
133,d1hxra_,1hxr
134,d1hyoa1,1hyo
135,d1hyoa2,1hyo
136,d1i1wa_,1i1w
137,d1i2ta_,1i2t
138,d1i4ja_,1i4j
139,d1i71a_,1i71
140,d1ifra_,1ifr
141,d1ijqa1,1ijq
142,d1ijya_,1ijy
143,d1ik9a1,1ik9
144,d1ikpa3,1ikp
145,d1in0a1,1in0
146,d1io0a_,1io0
147,d1io1a_,1io1
148,d1ioma_,1iom
149,d1iqza_,1iqz
150,d1irqa_,1irq
151,d1itxa2,1itx
152,d1ix9a1,1ix9
153,d1ix9a2,1ix9
154,d1izma_,1izm
155,d1j09a1,1j09
156,d1j0pa_,1j0p
157,d1j27a_,1j27
158,d1j3wa_,1j3w
159,d1j5ua_,1j5u
160,d1j5ya2,1j5y
161,d1j98a_,1j98
162,d1jb0a_,1jb0
163,d1jb0d_,1jb0
164,d1jb0f_,1jb0
165,d1jb0j_,1jb0
166,d1jb0l_,1jb0
167,d1jb3a_,1jb3
168,d1jfba_,1jfb
169,d1jhga_,1jhg
170,d1ji7a_,1ji7
171,d1jida_,1jid
172,d1jkea_,1jke
173,d1jlya1,1jly
174,d1jnra1,1jnr
175,d1jo0a_,1jo0
176,d1jofa_,1jof
177,d1josa_,1jos
178,d1jr8a_,1jr8
179,d1js8a2,1js8
180,d1jw9b_,1jw9
181,d1jx4a1,1jx4
182,d1k04a_,1k04
183,d1k0ra4,1k0r
184,d1k1fa_,1k1f
185,d1k32a2,1k32
186,d1k32a3,1k32
187,d1k3ia3,1k3i
188,d1k3xa1,1k3x
189,d1k3xa2,1k3x
190,d1k4ia_,1k4i
191,d1k4ta1,1k4t
192,d1k4za_,1k4z
193,d1k5ca_,1k5c
194,d1k5na2,1k5n
195,d1k6ka_,1k6k
196,d1k6ya1,1k6y
197,d1k7ca_,1k7c
198,d1k8kd1,1k8k
199,d1k8ke_,1k8k
200,d1k8kg_,1k8k
201,d1k92a2,1k92
202,d1ka1a_,1ka1
203,d1kafa_,1kaf
204,d1kapp1,1kap
205,d1kgsa1,1kgs
206,d1kjna_,1kjn
207,d1kjqa1,1kjq
208,d1kjqa2,1kjq
209,d1kjqa3,1kjq
210,d1kl9a1,1kl9
211,d1klxa_,1klx
212,d1kmva_,1kmv
213,d1knma_,1knm
214,d1knza_,1knz
215,d1ko7a1,1ko7
216,d1kp6a_,1kp6
217,d1kpta_,1kpt
218,d1kq6a_,1kq6
219,d1kqfb2,1kqf
220,d1kqfc_,1kqf
221,d1kqpa_,1kqp
222,d1kwfa_,1kwf
223,d1kyfa1,1kyf
224,d1kyqa2,1kyq
225,d1l0qa1,1l0q
226,d1l0sa_,1l0s
227,d1l2pa_,1l2p
228,d1l3ka1,1l3k
229,d1l3la2,1l3l
230,d1l3pa_,1l3p
231,d1l5ja1,1l5j
232,d1l6pa_,1l6p
233,d1l9la_,1l9l
234,d1lfpa_,1lfp
235,d1lg7a_,1lg7
236,d1lkka_,1lkk
237,d1llaa1,1lla
238,d1lm5a_,1lm5
239,d1lmia_,1lmi
240,d1lnsa1,1lns
241,d1lpba1,1lpb
242,d1ls1a1,1ls1
243,d1lsha1,1lsh
244,d1lsha2,1lsh
245,d1lsla1,1lsl
246,d1m0ka_,1m0k
247,d1m15a1,1m15
248,d1m15a2,1m15
249,d1m1eb_,1m1e
250,d1m1fa_,1m1f
251,d1m1ha1,1m1h
252,d1m22a_,1m22
253,d1m55a_,1m55
254,d1m56d_,1m56
255,d1m6ya1,1m6y
256,d1mc2a_,1mc2
257,d1mf7a_,1mf7
258,d1mg4a_,1mg4
259,d1mj4a_,1mj4
260,d1mk0a_,1mk0
261,d1mkfa_,1mkf
262,d1mkya3,1mky
263,d1mlaa2,1mla
264,d1mtyg_,1mty
265,d1muwa_,1muw
266,d1mv8a3,1mv8
267,d1mvfd_,1mvf
268,d1mw5a_,1mw5
269,d1mwpa_,1mwp
270,d1mwqa_,1mwq
271,d1n3la_,1n3l
272,d1n4wa2,1n4w
273,d1n5ua1,1n5u
274,d1n62a1,1n62
275,d1n62b1,1n62
276,d1n62b2,1n62
277,d1n62c1,1n62
278,d1n7za_,1n7z
279,d1n81a_,1n81
280,d1n8va_,1n8v
281,d1n93x_,1n93
282,d1na6a1,1na6
283,d1nc7a_,1nc7
284,d1ng6a_,1ng6
285,d1nh1a_,1nh1
286,d1nh2b_,1nh2
287,d1nh2c_,1nh2
288,d1nija2,1nij
289,d1nkda_,1nkd
290,d1nkia_,1nki
291,d1nkpa_,1nkp
292,d1nkza_,1nkz
293,d1nlqa_,1nlq
294,d1no1a_,1no1
295,d1nqja_,1nqj
296,d1nqua_,1nqu
297,d1nrja_,1nrj
